15.1	18.0	22.6	30.5	30.1	33.4	36.0	37.4	30.4	25.2	21.9	13.0
21.2	17.0	19.5	24.8	28.4	33.7	36.5	37.0	34.2	27.0	22.0	16.4
10.8	10.5	19.4	24.4	29.1	34.0	37.5	35.7	31.6	28.8	19.3	11.8
13.0	19.7	20.9	23.0	31.0	35.2	36.2	33.7	31.4	28.8	17.8	16.4
7.6	15.0	19.0	25.5	29.5	34.3	36.3	35.4	29.0	31.0	18.3	11.6
9.6	13.0	23.8	27.0	28.0	32.2	35.0	35.4	33.6	27.6	19.6	12.4
10.4	9.4	19.3	24.8	26.0	30.2	34.4	32.7	32.6	28.0	22.2	19.2
10.6	19.3	20.0	26.4	28.4	31.6	36.0	36.8	30.8	26.4	22.4	13.6
14.0	20.2	20.0	23.4	30.2	35.0	36.6	36.2	31.0	32.0	14.8	15.8
16.2	20.4	22.4	29.0	28.4	33.6	35.0	38.0	31.6	27.0	23.2	13.4
10.6	11.4	22.4	22.4	32.5	36.5	39.0	35.5	33.0	29.5	20.5	17.6
11.5	13.0	24.0	27.4	27.6	33.5	37.6	33.0	35.0	29.0	18.2	14.5
15.0	15.0	18.0	25.0	25.8	35.7	33.2	34.5	30.5	26.4	20.2	14.0
11.6	16.6	21.8	25.0	27.5	34.4	34.4	33.8	31.0	27.0	19.5	13.5
11.6	17.5	19.0	23.4	31.2	33.6	37.0	31.0	32.4	29.5	17.0	8.2
14.4	12.6	20.2	29.0	29.2	33.0	33.2	37.2	32.6	27.0	21.0	16.8
13.2	16.4	23.0	27.2	24.8	31.4	37.0	36.8	34.8	25.0	17.0	14.5
18.6	19.6	20.2	20.8	31.0	31.6	37.4	38.0	32.8	33.2	19.6	17.0
14.2	14.2	17.4	25.2	32.0	32.8	34.8	36.0	34.8	27.4	17.8	16.2
5.2	17.6	21.2	29.4	33.0	34.8	36.4	36.8	35.2	28.6	23.8	16.5
5.8	14.2	21.8	29.5	34.4	36.2	36.3	34.0	32.8	28.7	25.7	19.5
12.7	14.3	24.8	25.9	30.1	35.0	34.7	36.4	31.7	30.0	19.8	11.0
8.1	9.0	18.6	24.4	27.1	31.4	33.0	35.0	33.9	31.3	22.9	13.0
10.8	12.6	21.6	28.0	30.0	34.5	37.5	35.8	34.0	28.0	24.8	14.9
13.8	14.1	21.0	27.8	33.3	33.0	35.1	36.3	34.2	31.4	21.1	13.0
13.9	19.1	18.1	24.5	33.2	35.0	33.0	35.6	34.0	25.2	19.0	15.0
12.2	16.4	18.5	25.5	32.8	36.9	38.3	37.4	33.3	28.1	20.3	17.2
16.9	15.6	15.2	27.0	31.3	36.3	36.5	35.4	32.2	28.8	21.7	14.9
14.3	16.2	18.7	31.4	31.4	35.8	38.6	37.8	34.0	30.4	24.4	13.8
17.2	15.1	19.7	27.4	32.9	33.4	38.3	38.4	33.3	31.4	22.2	20.7
13.5	11.3	26.4	25.4	27.6	34.8	40.4	36.0	34.4	28.2	22.8	16.4
15.6	17.9	28.7	27.9	31.6	35.3	38.0	37.0	33.4	29.4	22.9	13.3
9.9	17.0	23.3	25.0	28.3	35.0	37.5	37.8	32.4	31.5	22.0	14.6
16.5	12.2	15.8	24.8	30.4	32.6	37.0	36.0	36.4	31.4	23.5	15.6
12.4	20.5	25.2	30.4	28.2	32.4	37.0	36.4	32.2	31.4	21.6	18.4
16.4	15.4	22.4	26.7	32.0	33.4	36.5	37.6	30.4	25.0	21.8	20.0
12.4	17.3	21.0	25.3	32.2	36.4	33.6	38.7	31.4	30.2	17.0	17.4
16.3	15.4	19.4	23.0	31.6	35.6	39.2	37.1	36.2	28.4	23.4	16.2
12.0	10.7	26.6	32.3	30.5	36.3	37.4	36.2	33.4	27.0	20.3	19.6
16.6	15.6	18.3	23.3	30.6	34.0	35.3	36.0	32.5	29.3	21.3	18.8
18.4	20.4	23.4	24.1	32.0	33.3	39.6	40.4	34.4	28.5	24.7	22.3
12.5	16.1	22.0	24.4	26.1	33.1	36.6	37.1	32.0	26.4	16.6	14.4
9.8	12.4	22.4	27.9	27.2	35.6	39.5	35.2	32.8	26.8	24.8	19.9
13.5	20.7	21.2	27.5	31.4	35.4	34.7	34.2	33.4	26.3	23.1	16.2
16.9	22.1	21.3	27.8	28.4	35.6	37.3	36.6	33.1	26.2	20.7	15.2
15.0	16.5	21.3	25.9	30.6	30.1	35.0	35.1	35.7	28.3	19.0	13.8
