15.4	16.8	24.0	31.0	32.0	33.6	36.4	37.8	30.2	26.4	22.2	12.8
18.4	15.7	22.0	25.4	28.8	33.3	38.0	37.8	33.5	27.2	19.6	15.3
9.5	9.5	20.0	27.5	30.4	34.4	37.4	36.3	31.4	29.0	18.0	10.6
12.6	19.0	20.8	23.5	30.7	35.7	36.2	33.7	31.0	28.3	17.6	16.8
7.6	17.4	20.9	25.0	28.5	35.3	35.0	36.6	28.5	29.5	19.5	10.4
10.6	9.3	24.4	27.3	29.0	34.0	36.3	36.0	34.2	28.1	20.0	11.4
12.3	10.0	21.9	28.0	27.0	30.5	36.0	33.9	34.5	28.3	21.0	14.0
9.4	21.4	22.2	28.7	30.0	33.3	34.8	37.0	32.3	27.4	23.3	14.3
12.3	19.0	22.0	24.4	31.4	35.4	38.4	37.4	32.3	31.0	14.9	16.3
15.6	19.0	23.0	28.0	29.4	34.0	36.4	36.6	30.7	27.5	25.0	13.8
12.0	11.9	22.6	23.6	33.4	37.3	39.4	35.4	33.4	28.9	19.5	18.5
13.5	13.6	23.6	26.0	27.8	33.4	37.1	33.5	34.7	30.4	19.5	14.6
15.3	16.0	19.7	25.8	28.1	35.2	33.8	33.3	31.3	28.3	21.2	17.1
11.2	16.3	23.9	26.1	28.0	33.2	34.0	34.6	32.0	27.2	19.4	13.4
12.3	16.6	20.6	24.0	29.5	34.2	35.8	31.2	33.4	30.3	19.0	9.2
15.2	14.2	22.0	28.7	29.0	33.1	33.4	38.4	33.4	27.6	21.5	16.5
15.0	17.3	21.6	27.0	23.4	30.4	36.5	36.6	34.3	25.3	16.8	13.9
19.6	20.3	19.2	22.9	30.5	31.5	37.3	38.5	32.2	32.1	19.3	16.2
15.0	13.1	18.6	23.5	32.5	31.6	33.4	35.7	33.2	27.1	17.4	15.4
6.6	19.3	20.3	28.9	31.5	33.7	37.0	34.7	33.6	29.0	22.5	14.0
7.0	14.3	21.6	28.6	33.0	35.3	36.1	33.7	31.7	28.4	25.3	18.4
11.5	12.5	24.2	26.7	28.7	35.8	35.3	37.0	31.5	30.3	17.5	10.4
6.5	7.8	20.5	26.0	27.5	32.3	33.1	35.3	34.3	31.0	21.9	11.2
11.5	15.2	21.5	28.4	29.6	34.7	37.4	35.4	33.5	28.2	21.4	15.5
13.7	15.8	22.0	28.8	34.0	34.0	35.0	36.4	36.0	31.5	21.0	12.5
15.3	18.5	19.6	24.5	36.0	34.0	32.4	36.5	34.8	26.3	20.0	16.4
14.2	20.2	18.3	25.2	31.7	36.8	38.1	37.0	33.4	27.2	20.2	18.1
15.2	15.6	15.8	29.2	31.2	35.2	36.1	35.0	30.8	29.7	21.8	15.1
13.5	14.5	20.2	31.4	30.0	34.6	40.1	36.5	33.5	31.4	22.0	13.5
16.0	15.0	20.2	27.2	31.8	33.8	37.6	38.4	32.8	33.2	21.4	18.4
13.8	11.0	23.8	27.3	27.0	34.0	41.2	36.6	32.4	28.8	21.4	16.3
17.3	18.5	28.0	27.9	29.8	34.4	38.4	37.2	33.3	29.4	20.8	14.4
10.9	16.2	22.3	24.5	31.4	36.5	36.7	38.8	31.2	31.2	21.9	15.3
18.5	13.8	17.0	27.6	29.0	32.3	37.5	36.3	36.2	30.9	23.2	15.2
14.2	20.5	25.5	29.8	28.5	32.0	36.1	37.1	32.2	30.9	22.0	15.2
17.2	17.0	23.0	28.6	35.0	33.2	38.5	37.0	30.2	26.4	24.1	21.4
12.5	18.2	25.1	25.5	34.1	36.5	33.8	39.8	31.6	28.8	17.0	13.5
18.0	17.0	23.5	23.0	32.9	36.7	39.3	39.5	35.8	29.6	22.2	16.0
11.7	12.3	29.0	34.0	32.3	37.0	38.0	37.5	32.8	26.0	20.0	19.5
17.0	16.2	21.5	23.0	32.0	35.0	35.2	36.0	31.5	30.5	21.0	16.0
18.5	21.0	25.5	26.3	34.1	35.0	40.0	40.0	35.2	28.2	23.0	22.0
12.8	15.9	21.4	24.5	26.1	32.1	36.6	37.0	31.9	28.2	15.8	16.8
11.0	11.7	17.9	28.9	28.0	35.8	40.0	35.6	32.8	27.7	24.5	19.9
17.0	18.9	24.9	27.7	32.7	36.0	35.3	35.0	35.6	28.9	23.0	15.1
17.7	22.3	23.5	29.6	31.1	35.9	37.5	37.5	34.6	26.4	20.9	16.2
16.1	19.0	22.2	26.6	32.5	30.5	37.8	36.1	37.2	27.9	19.1	11.5
