4.7	5.9	7.8	13.1	15.5	20.1	23.3	21.1	16.9	10.5	8.2	0.4
4.8	2.4	6.7	9.1	15.7	19.5	23.5	21.5	19.1	10.1	7.2	0.8
-6.8	-4.1	5.6	13.2	15.3	19.9	24.0	22.9	19.7	13.3	5.3	-2.3
-1.6	4.8	4.8	10.6	16.3	18.7	23.1	21.7	19.4	13.2	3.8	1.6
-3.6	3.4	7.9	10.2	16.2	21.5	22.7	21.7	16.5	16.1	7.3	-0.2
-0.7	0.0	7.6	12.5	14.6	19.2	23.6	21.4	17.6	11.6	4.7	-1.8
-1.6	-2.1	5.5	10.3	15.2	18.8	21.8	20.6	17.5	13.1	7.7	2.8
-2.1	6.1	5.2	10.0	15.3	19.6	22.8	22.9	18.3	9.3	9.3	0.0
3.1	6.0	7.3	11.1	17.4	19.9	23.6	20.8	18.2	13.4	3.1	4.3
2.7	5.0	8.0	11.7	16.2	19.7	22.2	23.5	18.6	13.4	8.6	2.7
-0.8	0.8	5.2	10.7	15.5	20.8	25.2	22.3	17.2	13.2	7.0	3.6
3.3	2.5	8.2	10.6	13.6	20.1	23.3	22.3	19.0	15.2	5.2	6.8
1.9	-1.2	3.9	11.6	15.2	19.5	21.3	21.5	18.9	12.4	4.4	2.3
-2.9	0.4	4.8	11.2	16.1	19.1	22.5	20.8	17.4	10.7	8.9	3.1
3.2	4.1	7.2	9.6	17.0	20.4	22.4	20.1	20.0	12.4	6.7	-3.3
4.5	-2.3	3.5	12.8	17.6	21.5	21.9	24.6	18.5	9.6	9.0	2.0
4.0	4.4	7.2	13.5	12.5	19.9	24.8	25.1	20.2	12.8	2.8	1.1
3.8	4.5	-0.5	9.8	16.6	20.1	23.6	22.6	19.0	11.6	6.1	3.2
1.5	3.1	4.9	11.3	16.4	19.8	23.5	22.7	18.6	11.4	4.2	4.0
-8.3	-2.9	7.9	16.4	17.5	21.7	24.2	24.4	19.2	11.3	7.5	1.1
-6.8	0.1	6.2	11.2	14.7	20.1	24.3	21.5	17.8	12.7	9.2	3.7
-1.0	-2.2	7.6	12.0	15.3	21.4	24.0	23.6	18.0	14.3	6.3	-1.1
-4.2	-7.9	2.2	11.4	14.5	19.2	20.5	22.5	16.1	15.6	5.3	-1.9
-4.0	-0.7	5.1	11.4	14.6	19.4	22.8	22.6	18.6	13.2	3.7	4.3
3.8	2.6	6.2	13.8	17.6	20.8	23.4	22.6	21.6	15.8	5.3	0.4
2.7	3.7	7.0	9.6	17.6	22.0	21.4	23.8	19.9	10.8	3.0	1.7
0.8	4.3	4.4	9.4	18.3	20.5	25.4	23.6	19.1	11.5	7.7	7.0
1.6	-0.4	2.2	8.0	17.7	20.6	23.8	21.6	16.5	13.8	6.9	4.0
0.7	1.9	3.9	13.1	17.2	21.2	25.3	25.3	20.0	14.0	10.2	3.9
2.3	3.3	6.0	11.9	17.8	20.1	24.7	24.0	19.5	13.9	6.1	4.8
-4.0	-0.6	4.4	13.4	14.8	20.0	25.9	22.5	18.7	11.1	6.4	1.9
2.7	3.3	11.3	13.0	14.9	22.2	25.6	24.1	20.6	11.3	6.4	4.0
-5.0	3.4	8.1	10.6	15.7	20.1	24.0	22.3	18.6	13.9	7.8	-3.1
5.3	-1.3	2.1	10.1	17.7	20.6	23.6	23.4	18.0	15.2	6.8	2.8
0.6	2.3	6.9	10.9	16.1	20.9	23.8	23.6	18.5	14.6	6.0	0.7
2.9	2.2	7.1	11.2	16.8	20.4	24.8	24.4	17.2	10.0	4.8	2.6
-2.7	2.2	7.2	12.4	17.2	22.5	23.0	26.7	18.9	14.4	4.9	-0.2
1.0	0.2	6.4	8.1	18.8	22.0	25.3	24.9	19.5	13.9	7.1	1.4
-3.4	-3.8	10.6	14.8	15.8	21.8	24.4	25.3	20.0	12.3	8.1	0.3
2.3	4.2	5.2	10.7	15.3	22.3	23.7	22.3	18.0	15.9	6.5	6.3
5.3	7.0	9.3	11.7	18.2	21.6	26.4	27.0	21.7	13.5	10.5	6.8
2.1	2.4	5.8	10.2	14.6	20.1	25.5	23.1	19.3	11.2	1.8	2.6
0.0	-1.7	7.1	14.3	16.7	23.0	25.5	22.8	20.7	15.1	8.6	5.1
2.7	6.2	8.4	12.3	19.1	22.0	23.3	23.3	18.6	10.5	8.5	-1.9
3.6	5.5	8.4	14.1	17.2	21.0	25.8	25.6	19.9	13.2	6.0	6.1
2.0	3.2	7.5	9.9	17.4	19.4	23.9	24.8	22.7	15.4	7.8	-0.6
